"dialogue_id","movie_title","movie_chapter","chapter_id","place_name","place_category","character_name","gender","house","species","dialogue","dialogue_no_spells"
1065,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Draco Malfoy","Male","Slytherin","Human","Oh look, Potter. You've got yourself a girlfriend.","Oh look, Potter. You've got yourself a girlfriend."
1043,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Harry! Hagrid!","Harry! Hagrid!"
1048,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","I definitely need to remember that one.","I definitely need to remember that one."
1049,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","You'll be all right now then, Harry? Right. I'll leave you to it, then.","You'll be all right now then, Harry? Right. I'll leave you to it, then."
145,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Uh, Hagrid, what exactly are these things?","Uh, Hagrid, what exactly are these things?"
155,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Stand back.","Stand back."
6887,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY.","It's hot! All eyes turn to the bowl, WOBBLING MADLY on the floor, when... it SPLITS APART and begins to MULTIPLY."
6905,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","I've got something. But it's mad.","I've got something. But it's mad."
153,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","What's in there, Hagrid?","What's in there, Hagrid?"
6864,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","You don't say.  Just out of interest... is there any other way out of here?","You don't say.  Just out of interest... is there any other way out of here?"
151,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Didn't think your mum and dad would leave you with nothing now, did ya?","Didn't think your mum and dad would leave you with nothing now, did ya?"
147,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","And does Mr. Harry Potter have his key?","And does Mr. Harry Potter have his key?"
